epoch,val_iou,val_dice
0,0.3648,0.5346
1,0.3977,0.5691
2,0.4464,0.6173
3,0.4570,0.6273
4,0.4631,0.6330
5,0.4690,0.6385
6,0.4658,0.6356
7,0.4645,0.6343
8,0.4736,0.6428
9,0.4851,0.6533
10,0.4817,0.6502
11,0.4837,0.6521
12,0.4755,0.6445
13,0.4891,0.6569
14,0.5048,0.6710
15,0.4906,0.6583
16,0.4990,0.6657
17,0.5037,0.6699
18,0.5059,0.6719
19,0.4969,0.6639
20,0.5090,0.6746
21,0.5043,0.6705
22,0.4990,0.6658
23,0.5088,0.6744
24,0.5095,0.6750
25,0.5076,0.6733
26,0.5188,0.6831
27,0.5160,0.6808
28,0.5196,0.6839
29,0.5147,0.6796
30,0.5136,0.6786
31,0.5162,0.6809
32,0.5162,0.6810
33,0.5217,0.6857
34,0.5188,0.6832
