03:23:56 INFO device=cuda out_dir=runs\20260627_032356_segformer_b2 smoke=False
03:23:57 INFO train=5604 val=622 batches/epoch=1401
03:24:02 INFO resumed from runs/20260622_020144_segformer_b2/last.pth: starting epoch 9, best_iou=0.4736
03:24:48 INFO epoch 9 step 50/1401 loss 0.2639 lr 5.51e-05
03:25:00 INFO epoch 9 step 100/1401 loss 0.3042 lr 5.50e-05
03:25:12 INFO epoch 9 step 150/1401 loss 0.2903 lr 5.50e-05
03:25:24 INFO epoch 9 step 200/1401 loss 0.2896 lr 5.49e-05
03:25:37 INFO epoch 9 step 250/1401 loss 0.2692 lr 5.49e-05
03:25:49 INFO epoch 9 step 300/1401 loss 0.2789 lr 5.48e-05
03:26:01 INFO epoch 9 step 350/1401 loss 0.2748 lr 5.48e-05
03:26:13 INFO epoch 9 step 400/1401 loss 0.3011 lr 5.47e-05
03:26:26 INFO epoch 9 step 450/1401 loss 0.2969 lr 5.47e-05
03:26:38 INFO epoch 9 step 500/1401 loss 0.2831 lr 5.46e-05
03:26:50 INFO epoch 9 step 550/1401 loss 0.3191 lr 5.46e-05
03:27:02 INFO epoch 9 step 600/1401 loss 0.2887 lr 5.45e-05
03:27:14 INFO epoch 9 step 650/1401 loss 0.2714 lr 5.45e-05
03:27:27 INFO epoch 9 step 700/1401 loss 0.2888 lr 5.44e-05
03:27:39 INFO epoch 9 step 750/1401 loss 0.2852 lr 5.44e-05
03:27:51 INFO epoch 9 step 800/1401 loss 0.2969 lr 5.43e-05
03:28:03 INFO epoch 9 step 850/1401 loss 0.2899 lr 5.43e-05
03:28:16 INFO epoch 9 step 900/1401 loss 0.3018 lr 5.42e-05
03:28:28 INFO epoch 9 step 950/1401 loss 0.2681 lr 5.42e-05
03:28:40 INFO epoch 9 step 1000/1401 loss 0.2950 lr 5.41e-05
03:28:52 INFO epoch 9 step 1050/1401 loss 0.2837 lr 5.41e-05
03:29:04 INFO epoch 9 step 1100/1401 loss 0.2871 lr 5.40e-05
03:29:16 INFO epoch 9 step 1150/1401 loss 0.2916 lr 5.39e-05
03:29:29 INFO epoch 9 step 1200/1401 loss 0.2744 lr 5.39e-05
03:29:41 INFO epoch 9 step 1250/1401 loss 0.2802 lr 5.38e-05
03:29:53 INFO epoch 9 step 1300/1401 loss 0.2797 lr 5.38e-05
03:30:05 INFO epoch 9 step 1350/1401 loss 0.2818 lr 5.37e-05
03:30:18 INFO epoch 9 step 1400/1401 loss 0.3025 lr 5.37e-05
03:31:04 INFO == epoch 9 val: iou=0.4851 dice=0.6533
03:31:04 INFO   new best iou=0.4851 -> best.pth
03:31:47 INFO epoch 10 step 50/1401 loss 0.2974 lr 5.36e-05
03:31:59 INFO epoch 10 step 100/1401 loss 0.2445 lr 5.36e-05
03:32:12 INFO epoch 10 step 150/1401 loss 0.2732 lr 5.35e-05
03:32:24 INFO epoch 10 step 200/1401 loss 0.2977 lr 5.35e-05
03:32:36 INFO epoch 10 step 250/1401 loss 0.2684 lr 5.34e-05
03:32:48 INFO epoch 10 step 300/1401 loss 0.2974 lr 5.33e-05
03:33:00 INFO epoch 10 step 350/1401 loss 0.2883 lr 5.33e-05
